tweet_id,user_name,text,time,event_id,user_mentions,hashtags,urls,words,created_at,filtered_words,entities,sampled_words
1018722125941755905,@pcrehange,#Rennes - La sortie de prison de Djamel Beghal [Vidéo exclusive] via @letelegramme https://t.co/tbOthY1Ren,下午1:00 · 2018年7月16日,0,['@letelegramme'],['#Rennes'],['https://t.co/tbOthY1Ren'],"['-', 'La', 'sortie', 'de', 'prison', 'de', 'Djamel', 'Beghal', 'Vidéo', 'exclusive', 'via']",2018-07-16 13:00:00,"['sortie', 'prison', 'djamel', 'beghal', 'vidéo', 'exclusive']",['Djamel Beghal Vidéo'],[]
1018723940791971840,@evebechade,"Le terroriste Djamel Beghal [mentor de Kouachi et Coulibaly, auteurs des attentats de Charlie Hebdo et de l'Hyper Cacher] sort de prison 👉 Décision intolérable! À quant une justice d'exception pour ces terroristes ? https://t.co/DJHGpv8Uui via @Le_Figaro",下午1:08 · 2018年7月16日,0,['@Le_Figaro'],[],['https://t.co/DJHGpv8Uui'],"['Le', 'terroriste', 'Djamel', 'Beghal', 'mentor', 'de', 'Kouachi', 'et', 'Coulibaly', 'auteurs', 'des', 'attentats', 'de', 'Charlie', 'Hebdo', 'et', 'de', ""l'Hyper"", 'Cacher', 'sort', 'de', 'prison', '👉', 'Décision', 'intolérable', 'À', 'quant', 'une', 'justice', ""d'exception"", 'pour', 'ces', 'terroristes', '?', 'via']",2018-07-16 13:08:00,"['terroriste', 'djamel', 'beghal', 'mentor', 'kouachi', 'coulibaly', 'auteurs', 'attentats', 'charlie', 'hebdo', 'hyper', 'cacher', 'sort', 'prison', '👉', 'décision', 'intolérable', 'justice', 'exception', 'terroristes']","['Djamel Beghal', 'Kouachi', 'Coulibaly', 'Décision']",[]
1018724673385725952,@OuestFrance,"Djamel Beghal, mentor des djihadistes de Charlie Hebdo, sort de prison ce lundi https://t.co/6FOgfdAktB https://t.co/ZrEzsSk93D",下午1:11 · 2018年7月16日,0,[],[],"['https://t.co/6FOgfdAktB', 'https://t.co/ZrEzsSk93D']","['Djamel', 'Beghal', 'mentor', 'des', 'djihadistes', 'de', 'Charlie', 'Hebdo', 'sort', 'de', 'prison', 'ce', 'lundi']",2018-07-16 13:11:00,"['djamel', 'beghal', 'mentor', 'djihadistes', 'charlie', 'hebdo', 'sort', 'prison', 'lundi']","['Djamel Beghal', 'Charlie Hebdo']",[]
1018726465058295808,@JOL56260,Rennes. La sortie de prison de Djamel Beghal [Vidéo exclusive] https://t.co/cT6i0xq2va via @LeTelegramme,下午1:18 · 2018年7月16日,0,['@LeTelegramme'],[],['https://t.co/cT6i0xq2va'],"['Rennes', 'La', 'sortie', 'de', 'prison', 'de', 'Djamel', 'Beghal', 'Vidéo', 'exclusive', 'via']",2018-07-16 13:18:00,"['rennes', 'sortie', 'prison', 'djamel', 'beghal', 'vidéo', 'exclusive']","['Rennes', 'Djamel Beghal Vidéo']",[]
1018728277517783041,@luigipas,2 ans de remise de peine. RT @Le_Figaro: Le terroriste Djamel Beghal sort de prison #Société https://t.co/G5vtT5YP0J,下午1:25 · 2018年7月16日,0,['@Le_Figaro:'],['#Société'],['https://t.co/G5vtT5YP0J'],"['2', 'ans', 'de', 'remise', 'de', 'peine', 'RT', 'Le', 'terroriste', 'Djamel', 'Beghal', 'sort', 'de', 'prison']",2018-07-16 13:25:00,"['2', 'ans', 'remise', 'peine', 'rt', 'terroriste', 'djamel', 'beghal', 'sort', 'prison']","['RT', 'Djamel Beghal']",[]
1018728720322912256,@W38777Y,L'islamiste Djamel Beghal sort de prison mais des incertitudes demeurent sur son sort https://t.co/lnt1kOaYpv https://t.co/gVz8SARqKf,下午1:27 · 2018年7月16日,0,[],[],"['https://t.co/lnt1kOaYpv', 'https://t.co/gVz8SARqKf']","[""L'islamiste"", 'Djamel', 'Beghal', 'sort', 'de', 'prison', 'mais', 'des', 'incertitudes', 'demeurent', 'sur', 'son', 'sort']",2018-07-16 13:27:00,"['islamiste', 'djamel', 'beghal', 'sort', 'prison', 'incertitudes', 'demeurent', 'sort']",['Djamel Beghal'],[]
1018729943692267520,@GillesKLEIN,🇫🇷 L'islamiste Djamel Beghal sort de prison mais des incertitudes demeurent sur son sort (AFP) https://t.co/Hp1N6QVP0t,下午1:32 · 2018年7月16日,0,[],[],['https://t.co/Hp1N6QVP0t'],"['🇫🇷', ""L'islamiste"", 'Djamel', 'Beghal', 'sort', 'de', 'prison', 'mais', 'des', 'incertitudes', 'demeurent', 'sur', 'son', 'sort', 'AFP']",2018-07-16 13:32:00,"['🇫', '🇷', 'islamiste', 'djamel', 'beghal', 'sort', 'prison', 'incertitudes', 'demeurent', 'sort', 'afp']","['🇷', 'Djamel Beghal', 'AFP']",[]
1018730359800856577,@sudouest,"Que va devenir Djamel Beghal, le mentor des frères Kouachi, libéré ce lundi ? https://t.co/TRGYXVDUtS https://t.co/mZpZ4HgoqR",下午1:33 · 2018年7月16日,0,[],[],"['https://t.co/TRGYXVDUtS', 'https://t.co/mZpZ4HgoqR']","['Que', 'va', 'devenir', 'Djamel', 'Beghal', 'le', 'mentor', 'des', 'frères', 'Kouachi', 'libéré', 'ce', 'lundi', '?']",2018-07-16 13:33:00,"['devenir', 'djamel', 'beghal', 'mentor', 'frères', 'kouachi', 'libéré', 'lundi']","['Djamel Beghal', 'Kouachi']",[]
1018730730669522950,@paris_2015,"L'islamiste Djamel Beghal sort de prison, des incertitudes demeurent sur son sort https://t.co/cKjbtlaybP https://t.co/nKYeOe3XdI",下午1:35 · 2018年7月16日,0,[],[],"['https://t.co/cKjbtlaybP', 'https://t.co/nKYeOe3XdI']","[""L'islamiste"", 'Djamel', 'Beghal', 'sort', 'de', 'prison', 'des', 'incertitudes', 'demeurent', 'sur', 'son', 'sort']",2018-07-16 13:35:00,"['islamiste', 'djamel', 'beghal', 'sort', 'prison', 'incertitudes', 'demeurent', 'sort']",['Djamel Beghal'],[]
1018731004671004672,@RudyTordjman,"L'islamiste Djamel Beghal sort de prison, des incertitudes demeurent sur son sort https://t.co/mNNTB8EH3I https://t.co/YdaGJnWj43",下午1:36 · 2018年7月16日,0,[],[],"['https://t.co/mNNTB8EH3I', 'https://t.co/YdaGJnWj43']","[""L'islamiste"", 'Djamel', 'Beghal', 'sort', 'de', 'prison', 'des', 'incertitudes', 'demeurent', 'sur', 'son', 'sort']",2018-07-16 13:36:00,"['islamiste', 'djamel', 'beghal', 'sort', 'prison', 'incertitudes', 'demeurent', 'sort']",['Djamel Beghal'],[]
